v 0.215 0.99
v 0.2225 0.70375
v 0.23125 0.3925
v 0.15375 0.4325
v 0.0475 0.27625
v 0.20875 0.1025
v 0.36875 0.00875
v 0.3875 0.045
v 0.41375 0.07625
v 0.485 0.10375
v 0.56375 0.07875
v 0.59125 0.0475
v 0.605 0.005
v 0.76 0.09625
v 0.94625 0.2725
v 0.84625 0.425
v 0.7675 0.37625
v 0.76875 0.69375
v 0.77 0.975
v 0.49625 0.98125
v 0.4925 0.69375
v 0.48 0.375
t 3 4 5
t 3 5 6
t 6 7 8
t 3 8 9
t 3 6 8
t 3 9 10
t 3 10 22
t 17 10 22
t 10 11 17
t 11 12 17
t 17 14 12
t 12 13 14
t 14 15 17
t 15 16 17
t 3 21 22
t 17 21 22
t 2 3 21
t 18 17 21
t 1 2 20
t 2 20 21
t 18 20 21
t 18 19 20
