v 0.125 0.6450428396572827
v 0.14338235294117646 0.5091799265605875
v 0.125 0.3953488372093023
v 0.08823529411764706 0.4259485924112607
v 0.03799019607843137 0.38310893512851896
v 0.10049019607843138 0.2913096695226438
v 0.18259803921568626 0.25458996328029376
v 0.19240196078431374 0.27050183598531213
v 0.21691176470588236 0.2827417380660955
v 0.24754901960784315 0.28518971848225216
v 0.28431372549019607 0.27906976744186046
v 0.3075980392156863 0.2692778457772338
v 0.31495098039215685 0.2521419828641371
v 0.4068627450980392 0.2974296205630355
v 0.4632352941176471 0.3818849449204406
v 0.4105392156862745 0.42472460220318237
v 0.3762254901960784 0.38555691554467564
v 0.3541666666666667 0.5042839657282742
v 0.3737745098039216 0.6401468788249693
v 0.24754901960784315 0.6548347613219094
v 0.24632352941176472 0.5091799265605875
v 0.24387254901960784 0.37576499388004897
t 3 4 5
t 3 5 6
t 6 7 8
t 3 8 9
t 3 6 8
t 3 9 10
t 3 10 22
t 17 10 22
t 10 11 17
t 11 12 17
t 17 14 12
t 12 13 14
t 14 15 17
t 15 16 17
t 3 21 22
t 17 21 22
t 2 3 21
t 18 17 21
t 1 2 20
t 2 20 21
t 18 20 21
t 18 19 20
